id,logistic,identity,tanh,relu
TEST_000,A,A,A,A
TEST_001,B,B,B,B
TEST_002,C,C,C,C
TEST_003,C,C,C,C
TEST_004,A,A,A,A
TEST_005,B,B,B,B
TEST_006,C,C,C,C
TEST_007,B,B,B,B
TEST_008,A,A,A,A
TEST_009,A,A,A,A
TEST_010,C,C,C,C
TEST_011,B,B,B,B
TEST_012,B,B,B,C
TEST_013,A,A,A,A
TEST_014,B,B,B,B
TEST_015,B,B,B,B
TEST_016,A,A,A,A
TEST_017,B,B,B,B
TEST_018,B,B,B,B
TEST_019,C,C,C,C
TEST_020,B,B,B,B
TEST_021,B,B,B,B
TEST_022,B,B,B,B
TEST_023,A,A,A,A
TEST_024,B,B,B,B
TEST_025,B,B,B,B
TEST_026,B,B,B,B
TEST_027,A,A,A,A
TEST_028,A,A,A,A
TEST_029,B,B,B,B
TEST_030,A,A,A,A
TEST_031,A,A,A,A
TEST_032,B,B,B,B
TEST_033,C,C,C,C
TEST_034,A,A,A,A
TEST_035,B,B,B,B
TEST_036,C,C,C,C
TEST_037,B,B,B,B
TEST_038,B,B,B,B
TEST_039,C,C,C,C
TEST_040,A,A,A,A
TEST_041,B,B,B,B
TEST_042,C,C,C,C
TEST_043,B,B,B,B
TEST_044,B,B,C,B
TEST_045,B,B,B,B
TEST_046,B,B,B,B
TEST_047,C,C,C,C
TEST_048,B,B,B,B
TEST_049,C,C,C,C
TEST_050,A,A,A,A
TEST_051,B,B,B,B
TEST_052,A,A,A,A
TEST_053,B,B,B,B
TEST_054,B,B,B,B
TEST_055,B,B,B,B
TEST_056,C,C,C,C
TEST_057,A,A,A,A
TEST_058,B,B,B,B
TEST_059,C,C,C,C
TEST_060,A,A,A,A
TEST_061,B,B,B,B
TEST_062,C,C,C,C
TEST_063,C,C,C,C
TEST_064,C,C,C,C
TEST_065,A,A,A,A
TEST_066,B,B,B,B
TEST_067,A,A,A,A
TEST_068,A,A,A,A
TEST_069,B,B,B,B
TEST_070,B,B,B,B
TEST_071,B,B,B,B
TEST_072,A,A,A,A
TEST_073,A,A,A,A
TEST_074,C,C,C,C
TEST_075,B,B,B,B
TEST_076,C,C,C,C
TEST_077,B,B,B,B
TEST_078,B,B,B,B
TEST_079,B,B,B,B
TEST_080,C,C,C,C
TEST_081,B,B,B,B
TEST_082,A,A,A,A
TEST_083,B,B,B,B
TEST_084,B,B,B,B
TEST_085,B,B,B,B
TEST_086,B,B,B,B
TEST_087,B,B,B,B
TEST_088,C,C,C,C
TEST_089,A,A,A,A
TEST_090,B,B,B,B
TEST_091,B,B,B,B
TEST_092,C,C,C,C
TEST_093,B,B,B,B
TEST_094,B,B,B,B
TEST_095,C,C,C,C
TEST_096,A,A,A,A
TEST_097,B,B,B,B
TEST_098,A,A,A,A
TEST_099,C,C,C,C
TEST_100,A,A,A,A
TEST_101,B,B,B,B
TEST_102,B,B,B,B
TEST_103,C,B,B,C
TEST_104,A,A,A,A
TEST_105,A,A,A,A
TEST_106,C,C,C,C
TEST_107,B,B,B,B
TEST_108,A,A,A,A
TEST_109,B,B,B,B
TEST_110,C,C,C,C
TEST_111,B,C,B,B
TEST_112,B,B,B,B
TEST_113,B,B,B,B
TEST_114,B,B,B,B
TEST_115,A,A,A,A
TEST_116,A,A,A,A
TEST_117,C,C,C,C
TEST_118,B,B,B,B
TEST_119,C,C,C,C
TEST_120,A,A,A,A
TEST_121,B,B,B,B
TEST_122,B,B,B,B
TEST_123,C,C,C,C
TEST_124,C,C,C,C
TEST_125,B,B,B,B
TEST_126,B,B,B,B
TEST_127,B,B,C,B
TEST_128,A,A,A,A
TEST_129,B,B,B,B
TEST_130,A,A,A,A
TEST_131,A,A,A,A
TEST_132,B,B,B,B
TEST_133,B,B,B,B
TEST_134,B,B,B,B
TEST_135,C,C,C,C
TEST_136,A,A,A,A
TEST_137,A,A,A,A
TEST_138,B,B,B,B
TEST_139,A,A,A,A
TEST_140,A,A,A,A
TEST_141,A,A,A,A
TEST_142,C,C,C,C
TEST_143,B,B,B,B
TEST_144,B,B,B,B
TEST_145,C,C,C,C
TEST_146,A,A,A,A
TEST_147,B,B,B,B
TEST_148,C,C,C,C
TEST_149,A,A,A,A
TEST_150,A,A,A,A
TEST_151,B,B,B,B
TEST_152,A,A,A,A
TEST_153,B,B,B,B
TEST_154,B,B,B,B
TEST_155,A,A,A,A
TEST_156,A,A,A,A
TEST_157,B,B,B,B
TEST_158,C,C,C,C
TEST_159,A,A,A,A
TEST_160,B,B,B,B
TEST_161,C,C,C,C
TEST_162,C,C,C,C
TEST_163,B,B,B,B
TEST_164,A,A,A,A
TEST_165,A,A,A,A
TEST_166,C,C,C,C
TEST_167,B,B,B,B
TEST_168,B,B,B,B
TEST_169,A,A,A,A
TEST_170,B,B,B,B
TEST_171,C,C,C,C
TEST_172,C,C,C,C
TEST_173,B,B,B,B
TEST_174,B,B,B,B
